seed,variant,class,precision,recall,f1,support
2024,H0_selective_EB,BRCA,0.5509433962264151,0.5572519083969466,0.5540796963946869,786
2024,H0_selective_EB,CESC,0.5566037735849056,0.3806451612903225,0.4521072796934866,155
2024,H0_selective_EB,COAD,0.7813953488372093,0.7533632286995515,0.7671232876712328,223
2024,H0_selective_EB,DLBC,0.6923076923076923,0.4736842105263157,0.5625,38
2024,H0_selective_EB,GBMLGG,0.6358839050131926,0.5227765726681128,0.5738095238095238,461
2024,H0_selective_EB,HNSC,0.4659685863874345,0.3991031390134529,0.429951690821256,223
2024,H0_selective_EB,KIPAN,0.6674259681093394,0.5689320388349515,0.6142557651991615,515
2024,H0_selective_EB,KIRC,0.6322418136020151,0.7514970059880239,0.6867305061559508,334
2024,H0_selective_EB,LAML,0.5857142857142857,0.5189873417721519,0.5503355704697986,158
2024,H0_selective_EB,LGG,0.607773851590106,0.7510917030567685,0.671875,229
2024,H0_selective_EB,LIHC,0.4430379746835443,0.4430379746835443,0.4430379746835443,158
2024,H0_selective_EB,LUAD,0.5166666666666667,0.3369565217391304,0.4078947368421052,184
2024,H0_selective_EB,LUSC,0.4954954954954955,0.6179775280898876,0.55,178
2024,H0_selective_EB,OV,0.4125,0.5217391304347826,0.4607329842931937,253
2024,H0_selective_EB,PAAD,0.4690265486725664,0.4416666666666666,0.4549356223175965,120
2024,H0_selective_EB,PCPG,0.3130841121495327,0.4557823129251701,0.371191135734072,147
2024,H0_selective_EB,PRAD,0.3292682926829268,0.4060150375939849,0.3636363636363636,266
2024,H0_selective_EB,SARC,0.2463054187192118,0.2525252525252525,0.2493765586034912,198
2024,H0_selective_EB,SKCM,0.9506172839506172,0.8369565217391305,0.8901734104046243,276
2024,H0_selective_EB,STES,0.541371158392435,0.604221635883905,0.571072319201995,379
2024,H0_selective_EB,TGCT,0.6434108527131783,0.6693548387096774,0.6561264822134387,124
2024,H0_selective_EB,THCA,0.8,0.6049382716049383,0.6889279437609842,324
2024,H0_selective_EB,THYM,0.2576687116564417,0.4285714285714285,0.3218390804597701,98
2024,H0_selective_EB,UCEC,0.6391752577319587,0.6262626262626263,0.6326530612244898,198
2024,exact_event_EB,ACC,0.8918918918918919,0.9166666666666666,0.9041095890410958,72
2024,exact_event_EB,BLCA,0.5393258426966292,0.4615384615384615,0.4974093264248704,104
2024,exact_event_EB,BRCA,0.5984147952443857,0.5763358778625954,0.5871678548282566,786
2024,exact_event_EB,CESC,0.5377358490566038,0.3677419354838709,0.4367816091954023,155
2024,exact_event_EB,COAD,0.7828054298642534,0.7757847533632287,0.7792792792792793,223
2024,exact_event_EB,DLBC,0.7,0.5526315789473685,0.6176470588235294,38
