variant,class,precision,recall,f1,support
seed_777,KIRC,0.6068796068796068,0.7395209580838323,0.6666666666666666,334
seed_777,LAML,0.6,0.5506329113924051,0.5742574257425742,158
seed_777,LGG,0.6125461254612546,0.7248908296943232,0.664,229
seed_777,LIHC,0.43506493506493504,0.4240506329113924,0.42948717948717946,158
seed_777,LUAD,0.49572649572649574,0.31521739130434784,0.3853820598006645,184
seed_777,LUSC,0.527027027027027,0.6573033707865169,0.585,178
seed_777,OV,0.4171974522292994,0.5177865612648221,0.4620811287477954,253
seed_777,PAAD,0.4117647058823529,0.4083333333333333,0.4100418410041841,120
seed_777,PCPG,0.29955947136563876,0.46258503401360546,0.36363636363636365,147
seed_777,PRAD,0.31378299120234604,0.40225563909774437,0.3525535420098847,266
seed_777,SARC,0.22404371584699453,0.20707070707070707,0.2152230971128609,198
seed_777,SKCM,0.9543568464730291,0.8333333333333334,0.8897485493230174,276
seed_777,STES,0.5465393794749404,0.604221635883905,0.5739348370927319,379
seed_777,TGCT,0.6136363636363636,0.6532258064516129,0.6328125,124
seed_777,THCA,0.7975708502024291,0.6080246913580247,0.6900175131348512,324
seed_777,THYM,0.25333333333333335,0.3877551020408163,0.3064516129032258,98
seed_777,UCEC,0.6720430107526881,0.6313131313131313,0.6510416666666666,198
seed_2024,ACC,0.9230769230769231,0.8333333333333334,0.8759124087591241,72
seed_2024,BLCA,0.5555555555555556,0.4807692307692308,0.5154639175257731,104
seed_2024,BRCA,0.5509433962264151,0.5572519083969466,0.5540796963946869,786
seed_2024,CESC,0.5566037735849056,0.38064516129032255,0.4521072796934866,155
seed_2024,COAD,0.7813953488372093,0.7533632286995515,0.7671232876712328,223
seed_2024,DLBC,0.6923076923076923,0.47368421052631576,0.5625,38
seed_2024,GBMLGG,0.6358839050131926,0.5227765726681128,0.5738095238095238,461
seed_2024,HNSC,0.46596858638743455,0.3991031390134529,0.42995169082125606,223
seed_2024,KIPAN,0.6674259681093394,0.5689320388349515,0.6142557651991615,515
seed_2024,KIRC,0.6322418136020151,0.7514970059880239,0.6867305061559508,334
seed_2024,LAML,0.5857142857142857,0.5189873417721519,0.5503355704697986,158
seed_2024,LGG,0.607773851590106,0.7510917030567685,0.671875,229
seed_2024,LIHC,0.4430379746835443,0.4430379746835443,0.4430379746835443,158
seed_2024,LUAD,0.5166666666666667,0.33695652173913043,0.40789473684210525,184
seed_2024,LUSC,0.4954954954954955,0.6179775280898876,0.55,178
